stop_id,stop_name,stop_lat,stop_lon,zone
6736,TAMAN INDAH,1.421136,110.170694,
6737,JALAN KUCHING BAU 1,1.421817,110.182797,
6738,SJK CHUNG HUA PAKU,1.422189,110.189231,
6739,OPPOSITE SMK PAKU,1.427542,110.192956,
6740,TAMAN SINIAWAN,1.441881,110.227708,
6741,KAMPUNG KERANJI,1.450436,110.268272,
6742,JALAN KUCHING BAU 2,1.450292,110.276089,
6743,KAMPUNG BUKIT PANCUR,1.452392,110.280475,
6744,SIMPANG BATU KITANG LAMA,1.452186,110.282422,
6745,JALAN KUCHING BAU 3,1.453506,110.285969,
6746,KAMPUNG BUMBOK,1.456189,110.297764,
6747,SIMPANG KAMPUNG TEMATU,1.459464,110.305406,
6748,SRBCH BATU 8 1/2,1.462486,110.312192,
6749,SIMPANG KPG HJ BAKI,1.467803,110.321489,
6768,SJKCH KRANJI,1.450203,110.266594,
6769,SIMPANG BUDDHIST VILLAGE,1.442236,110.245658,
6770,KAMPUNG SINIAWAN BARU,1.444064,110.232961,
6771,TAMAN SINIAWAN 1,1.442436,110.229408,
6772,TAMAN SINIAWAN 2,1.441675,110.226828,
6773,KAMPUNG PODAM,1.431633,110.19645,
6774,SMK PAKU,1.427183,110.193128,
6779,PENDING 1 OB,1.54965,110.370433,
6780,PENDING 2 OB,1.549811,110.374383,
6781,PENDING 3 OB,1.548828,110.377108,
6782,PENDING 4 OB,1.549808,110.379289,
6783,JALAN UTAMA 1,1.557717,110.383117,
6784,JALAN UTAMA 2,1.560583,110.384842,
6790,JETI BAKO,1.663522,110.431783,
6791,JALAN KAMPUNG BAKO 2,1.659917,110.434189,
6792,JALAN KAMPUNG BAKO 3,1.658192,110.438494,
6793,JALAN KAMPUNG BAKO 4,1.6557,110.441425,
6794,JALAN KAMPUNG BAKO 5,1.646397,110.448197,
6795,KAMPUNG MUARA TEBAS,1.647958,110.481153,
6869,SIMPANG MUARA TEBAS,1.667894,110.463711,
6870,SIMPANG KAMPUNG BAKO,1.642314,110.455108,
6871,SIMPANG KAMPUNG SENARI,1.624131,110.445586,
6872,OPP TIONG NAM,1.61665,110.444056,
6873,JLN BAKO 5 STAND,1.609011,110.442603,
6875,RPR DEMAK,1.597672,110.410814,
6876,SARAWAK ENERGY,1.559233,110.401822,
6877,MEDAN PELITA,1.562214,110.395803,
6878,JALAN KEMAJUAN,1.565897,110.388481,
6879,JALAN UTAMA 1 WHITE HORSE,1.564917,110.385822,
6880,JALAN UTAMA 2 MBKS,1.562008,110.385647,
6881,JALAN UTAMA 3,1.560206,110.384911,
6882,JALAN UTAMA 4,1.557117,110.383047,
6928,JALAN SEMABA 2,1.467128,110.289611,
6929,JALAN BATU KAWA 7 (ACH QUARY),1.508133,110.290147,
6930,JALAN BATU KAWA 8,1.509031,110.280122,
6931,SJK CHUNG HUA BATU KAWA,1.508964,110.2669,
6932,BATU KAWA COMMERCIAL CENTER,1.506528,110.266778,
6933,ELM MACHINERY,1.509078,110.281469,
6934,JALAN SEGEDUP,1.508561,110.287192,
6935,TAMAN VISION LAND,1.508014,110.2957,
6954,DESA WIRA,1.510231,110.3027,
6957,MJC CITY 1,1.514281,110.307775,
6959,MJC CITY 2,1.514808,110.311672,
6963,RPR BATU KAWA,1.515272,110.318133,
