stop_id,stop_name,stop_lat,stop_lon,zone
7391,SM SAINS SULTAN MUHAMMAD JIWA,5.655139,100.500831,
7392,PENJARA SG PETANI,5.647142,100.496386,
7393,PEJABAT DAERAH SG PETANI,5.643908,100.489081,
7394,KTM SUNGAI PETANI,5.642683,100.490603,
7395,UTC SUNGAI PETANI,5.640358,100.490714,
7396,JALAN SEKERAT,5.640358,100.490714,
7397,KK BEDONG / SKJ(T) BEDONG,5.722342,100.506514,
7398,TAMAN SEMELING INDAH,5.724908,100.495472,
7399,AIMST UNIVERSITY,5.721736,100.486711,
7400,TAMAN TASEK INDAH,5.713806,100.478292,
7401,TAMAN SEMELING MAJU,5.710028,100.475528,
7402,SK SEMELING,5.706211,100.470897,
7403,UITM PINTU UTAMA,5.714022,100.450908,
7404,PPU TNB UITM 1,5.715172,100.448472,
7405,SM PENDIDIKAN KHAS VOKASIONAL,5.711981,100.445664,
7406,PERMATA LEMBAH BUJANG,5.707039,100.440622,
7407,MRSM MERBOK,5.703036,100.436822,
7408,LEMBAH BUJANG UTAMA,5.697853,100.434467,
7409,MASJID AT MUTAAQIN,5.690969,100.435106,
7410,SK SULTAN MUZAFFAR,5.687856,100.435725,
7411,PONDOK AR RAHMAH,5.684536,100.436044,
7412,SIMPANG SEGANTANG GARAM,5.674558,100.431939,
7413,MASJID AT TAHIR,5.672667,100.426903,
7414,KLINIK DESA BAN MERBOK,5.681147,100.41675,
7415,MASJID PENGKALAN KAKAP,5.707606,100.394417,
7416,MASJID JAMEK AL ABIDI,5.713028,100.394767,
7417,SIMPANG TIGA PASIR,5.719039,100.394711,
7418,SMK SERI BADONG,5.726714,100.387575,
7419,DESA HARMONI / KLINIK DESA SINGKIR,5.731989,100.379942,
7420,MASJID UL ULA,5.731219,100.374889,
7421,SK SINGKIR,5.730658,100.373572,
7422,BALAI POLIS SINGKIR,5.727167,100.368431,
7423,SIMPANG TIGA SG PIAL,5.709653,100.356814,
7424,PANTAI RHU,5.687564,100.358422,
7425,SJK(C) CHOONG CHENG,5.681836,100.363486,
7426,FAMA SG PETANI,5.619167,100.473639,
7427,SG PASIR,5.598047,100.471683,
7428,TAMAN RHU,5.582269,100.462156,
7429,SJK(C) PENG MIN,5.587839,100.443711,
7430,BALAI POLIS TIKAM BATU,5.586783,100.440719,
7431,SK TIKAM BATU,5.585731,100.437486,
7432,KG PADANG,5.583983,100.431619,
7433,KG PERMATANG MERBAU,5.582747,100.428106,
7434,KG PERMATANG MERBAU 2,5.578292,100.421172,
7435,KG SUNGAI KOROK,5.576711,100.418753,
7436,KG PERMATANG PASIR,5.574178,100.415058,
7437,KG PADANG LIMAU,5.576206,100.408258,
7438,KG RANTAU PANJANG,5.578375,100.403367,
7439,SK RANTAU PANJANG,5.579247,100.401119,
7440,KG RANTAU PANJANG 2,5.581306,100.395194,
7441,MASJID AL MUQARRABIN,5.583969,100.387858,
7442,KG SEBERANG TERUS,5.585778,100.377222,
7443,SK KOTA KUALA MUDA,5.587086,100.373422,
7444,SMK KOTA KUALA MUDA,5.590967,100.372522,
7445,SINTOK BUGIS,5.602286,100.368564,
7446,MAKTAB MAHMUD KUALA MUDA,5.606256,100.362442,
7447,SMAIDA,5.609961,100.362033,
7448,KLINIK DESA BUKIT MERIAM,5.611983,100.361592,
7449,SK BUKIT MERIAM,5.612383,100.358736,
7450,KG BUKIT MERIAM,5.619153,100.358131,
7451,KILANG BERAS KUALA MUDA,5.632419,100.360125,
7452,SK BUKIT KECHIL,5.650767,100.3569,
7453,KG TELUK NIPAH,5.6575,100.360486,
7454,KG PANTAI MERDEKA,5.662142,100.367781,
7455,SMK AMAN JAYA,5.699989,100.520036,
7456,TAMAN GEMILANG,5.700328,100.525908,
7457,TAMAN SUNGAI LALANG,5.701092,100.530797,
7458,JALAN TAMAN BANDAR BARU,5.703325,100.534172,
7459,JALAN TAMAN BANDAR BARU 2,5.707133,100.534758,
7460,JALAN TAMAN BANDAR BARU / LORONG JATI 55C,5.710767,100.534814,
7461,JALAN TAMAN BANDAR BARU / LORONG JATI 61C,5.712419,100.534836,
7462,HOSPITAL SULTAN ABDUL HALIM,5.668092,100.516339,
7463,LHDN SUNGAI PETANI,5.6678,100.520586,
7464,TAMAN ANGGERIK,5.650797,100.538294,
7465,TAMAN AMANJAYA,5.639108,100.545617,
7466,PONDOK POLIS TAMAN KELISA RIA,5.637106,100.555581,
7467,TAMAN KELISA RIA A,5.637464,100.559072,
7468,IKM SUNGAI PETANI,5.652439,100.501344,
7469,TAMAN RIA INDAH,5.652069,100.508319,
7470,TAMAN RIA JAYA 1,5.649089,100.513233,
7471,TAMAN RIA JAYA 2,5.646908,100.51385,
7472,PASAR FLAT PAYA NAHU,5.644683,100.513625,
7473,FLAT PAYA NAHU,5.642122,100.515481,
7474,TAMAN RIA JAYA 3,5.646436,100.518294,
7475,MASJID SULTAN ABDUL HALIM SUNGAI PETANI,5.650753,100.518533,
7476,TAMAN RIA JAYA 4,5.650719,100.52075,
7477,SMK TAMAN RIA JAYA 1,5.650689,100.523333,
7478,SMK TAMAN RIA JAYA 2,5.650703,100.525047,
7479,KAWASAN PERINDUSTRIAN TAMAN RIA JAYA 1,5.648439,100.53145,
7480,KAWASAN PERINDUSTRIAN TAMAN RIA JAYA 2,5.646439,100.536072,
7481,TAMAN YAKIN / TAMAN DARUL AMAN,6.128511,100.373328,
7482,STAR VILLAGE,6.129833,100.359928,
7483,SIMPANG EMPAT,6.024306,100.381889,
7484,TAMAN UTAMA,6.137658,100.362453,
7485,TAMAN DELIMA / DESA BAIDURI,6.133097,100.360408,
7486,STADIUM DARUL AMAN KEDAH,6.136389,100.369689,
7487,STADIUM DARUL AMAN KEDAH 2,6.134444,100.369078,
7488,BAKAR BATA ALOR SETAR,6.131519,100.368314,
7489,WISMA KANCUT ALOR SETAR,6.128478,100.367597,
7490,SMK JITRA JITRA,6.260561,100.419967,
7491,SK JITRA KEDAH,6.261928,100.419978,
7492,PEKAN JITRA KEDAH,6.263481,100.419983,
