route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
30270,WEEKDAY,124_1_WD_5,SHP_30270_1,R15,1
30270,WEEKDAY,124_1_WD_6,SHP_30270_1,R15,1
30270,WEEKEND,124_1_WE_1,SHP_30270_1,R15,1
30270,WEEKEND,124_1_WE_2,SHP_30270_1,R15,1
30270,WEEKEND,124_1_WE_3,SHP_30270_1,R15,1
30270,WEEKEND,124_1_WE_4,SHP_30270_1,R15,1
30270,WEEKEND,124_1_WE_5,SHP_30270_1,R15,1
30270,WEEKEND,124_1_WE_6,SHP_30270_1,R15,1
30271,WEEKDAY,123_0_WD_1,SHP_30271_0,R14,0
30271,WEEKDAY,123_0_WD_2,SHP_30271_0,R14,0
30271,WEEKDAY,123_0_WD_3,SHP_30271_0,R14,0
30271,WEEKDAY,123_0_WD_4,SHP_30271_0,R14,0
30271,WEEKDAY,123_0_WD_5,SHP_30271_0,R14,0
30271,WEEKDAY,123_0_WD_6,SHP_30271_0,R14,0
30271,WEEKDAY,123_0_WD_7,SHP_30271_0,R14,0
30271,WEEKDAY,123_0_WD_8,SHP_30271_0,R14,0
30271,WEEKEND,123_0_WE_1,SHP_30271_0,R14,0
30271,WEEKEND,123_0_WE_2,SHP_30271_0,R14,0
30271,WEEKEND,123_0_WE_3,SHP_30271_0,R14,0
30271,WEEKEND,123_0_WE_4,SHP_30271_0,R14,0
30271,WEEKEND,123_0_WE_5,SHP_30271_0,R14,0
30271,WEEKEND,123_0_WE_6,SHP_30271_0,R14,0
30271,WEEKEND,123_0_WE_7,SHP_30271_0,R14,0
30271,WEEKEND,123_0_WE_8,SHP_30271_0,R14,0
30271,WEEKDAY,123_1_WD_1,SHP_30271_1,R14,1
30271,WEEKDAY,123_1_WD_2,SHP_30271_1,R14,1
30271,WEEKDAY,123_1_WD_3,SHP_30271_1,R14,1
30271,WEEKDAY,123_1_WD_4,SHP_30271_1,R14,1
30271,WEEKDAY,123_1_WD_5,SHP_30271_1,R14,1
30271,WEEKDAY,123_1_WD_6,SHP_30271_1,R14,1
30271,WEEKDAY,123_1_WD_7,SHP_30271_1,R14,1
30271,WEEKDAY,123_1_WD_8,SHP_30271_1,R14,1
30271,WEEKEND,123_1_WE_1,SHP_30271_1,R14,1
30271,WEEKEND,123_1_WE_2,SHP_30271_1,R14,1
30271,WEEKEND,123_1_WE_3,SHP_30271_1,R14,1
30271,WEEKEND,123_1_WE_4,SHP_30271_1,R14,1
30271,WEEKEND,123_1_WE_5,SHP_30271_1,R14,1
30271,WEEKEND,123_1_WE_6,SHP_30271_1,R14,1
30271,WEEKEND,123_1_WE_7,SHP_30271_1,R14,1
30271,WEEKEND,123_1_WE_8,SHP_30271_1,R14,1
30272,WEEKDAY,122_0_WD_1,SHP_30272_0,R13,0
30272,WEEKDAY,122_0_WD_2,SHP_30272_0,R13,0
30272,WEEKDAY,122_0_WD_3,SHP_30272_0,R13,0
30272,WEEKDAY,122_0_WD_4,SHP_30272_0,R13,0
30272,WEEKDAY,122_0_WD_5,SHP_30272_0,R13,0
30272,WEEKDAY,122_0_WD_6,SHP_30272_0,R13,0
30272,WEEKDAY,122_0_WD_7,SHP_30272_0,R13,0
30272,WEEKDAY,122_0_WD_8,SHP_30272_0,R13,0
30272,WEEKEND,122_0_WE_1,SHP_30272_0,R13,0
30272,WEEKEND,122_0_WE_2,SHP_30272_0,R13,0
30272,WEEKEND,122_0_WE_3,SHP_30272_0,R13,0
30272,WEEKEND,122_0_WE_4,SHP_30272_0,R13,0
30272,WEEKEND,122_0_WE_5,SHP_30272_0,R13,0
30272,WEEKEND,122_0_WE_6,SHP_30272_0,R13,0
30272,WEEKEND,122_0_WE_7,SHP_30272_0,R13,0
30272,WEEKEND,122_0_WE_8,SHP_30272_0,R13,0
30272,WEEKDAY,122_1_WD_1,SHP_30272_1,R13,1
30272,WEEKDAY,122_1_WD_2,SHP_30272_1,R13,1
30272,WEEKDAY,122_1_WD_3,SHP_30272_1,R13,1
30272,WEEKDAY,122_1_WD_4,SHP_30272_1,R13,1
30272,WEEKDAY,122_1_WD_5,SHP_30272_1,R13,1
30272,WEEKDAY,122_1_WD_6,SHP_30272_1,R13,1
30272,WEEKDAY,122_1_WD_7,SHP_30272_1,R13,1
30272,WEEKDAY,122_1_WD_8,SHP_30272_1,R13,1
30272,WEEKEND,122_1_WE_1,SHP_30272_1,R13,1
30272,WEEKEND,122_1_WE_2,SHP_30272_1,R13,1
30272,WEEKEND,122_1_WE_3,SHP_30272_1,R13,1
30272,WEEKEND,122_1_WE_4,SHP_30272_1,R13,1
30272,WEEKEND,122_1_WE_5,SHP_30272_1,R13,1
30272,WEEKEND,122_1_WE_6,SHP_30272_1,R13,1
30272,WEEKEND,122_1_WE_7,SHP_30272_1,R13,1
30272,WEEKEND,122_1_WE_8,SHP_30272_1,R13,1
30273,WEEKDAY,121_0_WD_1,SHP_30273_0,R12,0
30273,WEEKDAY,121_0_WD_2,SHP_30273_0,R12,0
30273,WEEKDAY,121_0_WD_3,SHP_30273_0,R12,0
30273,WEEKDAY,121_0_WD_4,SHP_30273_0,R12,0
30273,WEEKDAY,121_0_WD_5,SHP_30273_0,R12,0
30273,WEEKDAY,121_0_WD_6,SHP_30273_0,R12,0
30273,WEEKDAY,121_0_WD_7,SHP_30273_0,R12,0
30273,WEEKDAY,121_0_WD_8,SHP_30273_0,R12,0
30273,WEEKDAY,121_0_WD_9,SHP_30273_0,R12,0
30273,WEEKEND,121_0_WE_1,SHP_30273_0,R12,0
30273,WEEKEND,121_0_WE_2,SHP_30273_0,R12,0
30273,WEEKEND,121_0_WE_3,SHP_30273_0,R12,0
30273,WEEKEND,121_0_WE_4,SHP_30273_0,R12,0
30273,WEEKEND,121_0_WE_5,SHP_30273_0,R12,0
30273,WEEKEND,121_0_WE_6,SHP_30273_0,R12,0
30273,WEEKEND,121_0_WE_7,SHP_30273_0,R12,0
30273,WEEKEND,121_0_WE_8,SHP_30273_0,R12,0
30273,WEEKEND,121_0_WE_9,SHP_30273_0,R12,0
30273,WEEKDAY,121_1_WD_1,SHP_30273_1,R12,1
30273,WEEKDAY,121_1_WD_2,SHP_30273_1,R12,1
30273,WEEKDAY,121_1_WD_3,SHP_30273_1,R12,1
30273,WEEKDAY,121_1_WD_4,SHP_30273_1,R12,1
30273,WEEKDAY,121_1_WD_5,SHP_30273_1,R12,1
