stop_id,stop_name,stop_lat,stop_lon,zone
4497,BATU 16 1,6.635853,100.217428,
4498,SMK RAJA PUAN MUDA TENGKU FAUZIAH 1,6.637456,100.2207,
4499,FELCRA LUBUK SIREH 1,6.641444,100.228953,
4500,KG SERI AMAN 1,6.644697,100.236244,
4501,MASJID AL-NUR 1,6.646539,100.242414,
4502,KG BARU 1 PERLIS,6.6493,100.251742,
4503,UNCITI 1,6.650178,100.255964,
4504,KG TITI ULU,6.651806,100.260414,
4505,KG SERI KESIRAI,6.653506,100.266133,
4506,KG SENA DALAM,6.655769,100.279822,
4507,BATU 21 / KOK MAK,6.656597,100.285981,
4508,BATU 20,6.657342,100.288939,
4509,TMN KASTAM 3,6.656911,100.294103,
4510,TMN KASTAM 2,6.654644,100.301267,
4511,SRJK (C) KHOO AIK cp,6.429338,100.196241,
4512,TMN KEMAJUAN,6.424467,100.197219,
4513,TMN SERI MEDAN/TMN CAHAYA,6.415044,100.199225,
4514,JABATAN KESIHATAN NEGERI PERLIS cp,6.408245,100.200637,
4515,SIMPANG TITI CHAI cp,6.405549,100.200837,
4516,PASAR TITI CHAI cp,6.404751,100.201777,
4517,SK UTAN AJI CP,6.400055,100.205172,
4518,SIMPANG LORONG HAMID SAMAH,6.390106,100.205969,
4519,KLINIK DESA KG SURAU cp,6.384743,100.206137,
4520,DEWAN KG UJUNG BATU cp,6.378942,100.204361,
4521,KUARI GUNUNG MEDAN,6.386558,100.201994,
4522,SIMPANG TOK TINA ALUIH cp,6.386118,100.201969,
4523,TMN MEDAN SEPAKAT cp,6.396179,100.197102,
4524,SIMPANG GUNUNG MEDAN cp,6.402121,100.195415,
4525,KG BUKIT KECHIK cp,6.399641,100.192201,
4526,KG ALOR MARUS cp,6.398524,100.189998,
4527,KLINIK DESA BEHOR LATEH cp,6.396912,100.183812,
4528,SK KAYANG cp,6.39607,100.178811,
4529,KG TITI SERONG/PERTUBUHAN PELADANG cp,6.395317,100.172144,
4530,KRAFTANGAN MALAYSIA PERLIS cp,6.395056,100.168894,
4531,KG TELUK BATU 5 cp,6.392315,100.149093,
4532,SIMPANG TIGA PADANG BESAR SELATAN cp,6.392315,100.149093,
4533,WARUNG KAK ETA,6.392756,100.143922,
4534,TMN INDERA INDAH cp,6.393072,100.143114,
4535,BALAI POLIS KUALA PERLIS cp,6.393393,100.141021,
4536,SMK KUALA PERLIS cp,6.395674,100.13645,
4537,KOMPLEKS PERNIAGAAN KUALA PERLIS,6.395589,100.133414,
4538,STESEN BAS KUALA PERLIS cp,6.397616,100.131113,
4539,LKIM cp,6.399482,100.131218,
4540,PANGGUNG WAYANG,6.400122,100.132744,
4541,PLAZA KUALA cp,6.400488,100.133137,
4542,GERAI MAKAN TMN BUKIT KUBU,6.4029,100.139028,
4543,TMN BUKIT KUBU,6.405308,100.140114,
4544,UNIMAP KG WAI,6.411525,100.135456,
4545,SRJK (C) KHAY BENG cp,6.410486,100.133047,
4546,KLINIK DESA SEBERANG RAMAI cp,6.407091,100.131411,
4559,MASJID USMANIAH,6.655947,100.282869,
4560,LADANG BURUNG UNTA PERLIS,6.655769,100.279822,
