route_id,service_id,trip_id,shape_id,direction_id
N52,Bas.my,R1705017_T3,R1705017,1
N52,Bas.my,R1705017_T4,R1705017,1
N52,Bas.my,R1705017_T5,R1705017,1
N52,Bas.my,R1705017_T6,R1705017,1
N52,Bas.my,R1705017_T7,R1705017,1
N52,Bas.my,R1705017_T8,R1705017,1
N52,Bas.my,R1705017_T9,R1705017,1
N52,Bas.my,R1705017_T10,R1705017,1
N52,Bas.my,R1705017_T11,R1705017,1
N52,Bas.my,R1705017_T12,R1705017,1
N52,Bas.my,R1705017_T13,R1705017,1
N52,Bas.my,R1705017_T14,R1705017,1
N52,Bas.my,R1705017_T15,R1705017,1
N52,Bas.my,R1705017_T16,R1705017,1
N54,Bas.my,R1705024_T1,R1705024,0
N54,Bas.my,R1705024_T2,R1705024,0
N54,Bas.my,R1705024_T3,R1705024,0
N54,Bas.my,R1705024_T4,R1705024,0
N54,Bas.my,R1705024_T5,R1705024,0
N54,Bas.my,R1705024_T6,R1705024,0
N54,Bas.my,R1705024_T7,R1705024,0
N54,Bas.my,R1705024_T8,R1705024,0
N54,Bas.my,R1705024_T9,R1705024,0
N54,Bas.my,R1705024_T10,R1705024,0
N54,Bas.my,R1705024_T11,R1705024,0
N54,Bas.my,R1705024_T12,R1705024,0
N54,Bas.my,R1705024_T13,R1705024,0
N54,Bas.my,R1705024_T14,R1705024,0
N54,Bas.my,R1705024_T15,R1705024,0
N54,Bas.my,R1705024_T16,R1705024,0
N54,Bas.my,R1705024_T17,R1705024,0
N54,Bas.my,R1705024_T18,R1705024,0
N54,Bas.my,R1705024_T19,R1705024,0
N54,Bas.my,R1705024_T20,R1705024,0
N54,Bas.my,R1705024_T21,R1705024,0
N54,Bas.my,R1705024_T22,R1705024,0
N54,Bas.my,R1705024_T23,R1705024,0
N54,Bas.my,R1705024_T24,R1705024,0
N54,Bas.my,R1705024_T25,R1705024,0
N60A,Bas.my,R1705032_T1,R1705032,0
N60A,Bas.my,R1705032_T2,R1705032,0
N60A,Bas.my,R1705032_T3,R1705032,0
N60A,Bas.my,R1705032_T4,R1705032,0
N60A,Bas.my,R1705032_T5,R1705032,0
N60A,Bas.my,R1705032_T6,R1705032,0
N60A,Bas.my,R1705032_T7,R1705032,0
N60A,Bas.my,R1705032_T8,R1705032,0
N60A,Bas.my,R1705032_T9,R1705032,0
N60A,Bas.my,R1705032_T10,R1705032,0
N60A,Bas.my,R1705032_T11,R1705032,0
N60A,Bas.my,R1705032_T12,R1705032,0
N60A,Bas.my,R1705032_T13,R1705032,0
N60A,Bas.my,R1705032_T14,R1705032,0
