route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
30261,WEEKEND,114_0_WE_5,SHP_30261_0,T20,0
30261,WEEKEND,114_0_WE_6,SHP_30261_0,T20,0
30261,WEEKEND,114_0_WE_7,SHP_30261_0,T20,0
30261,WEEKEND,114_0_WE_8,SHP_30261_0,T20,0
30261,WEEKEND,114_0_WE_9,SHP_30261_0,T20,0
30261,WEEKEND,114_0_WE_10,SHP_30261_0,T20,0
30261,WEEKEND,114_0_WE_11,SHP_30261_0,T20,0
30261,WEEKEND,114_0_WE_12,SHP_30261_0,T20,0
30261,WEEKEND,114_1_WE_1,SHP_30261_1,T20,1
30261,WEEKEND,114_1_WE_2,SHP_30261_1,T20,1
30261,WEEKEND,114_1_WE_3,SHP_30261_1,T20,1
30261,WEEKEND,114_1_WE_4,SHP_30261_1,T20,1
30261,WEEKEND,114_1_WE_5,SHP_30261_1,T20,1
30261,WEEKEND,114_1_WE_6,SHP_30261_1,T20,1
30261,WEEKEND,114_1_WE_7,SHP_30261_1,T20,1
30261,WEEKEND,114_1_WE_8,SHP_30261_1,T20,1
30261,WEEKEND,114_1_WE_9,SHP_30261_1,T20,1
30261,WEEKEND,114_1_WE_10,SHP_30261_1,T20,1
30261,WEEKEND,114_1_WE_11,SHP_30261_1,T20,1
30261,WEEKEND,114_1_WE_12,SHP_30261_1,T20,1
30262,WEEKEND,115_0_WE_1,SHP_30262_0,T30,0
30262,WEEKEND,115_0_WE_2,SHP_30262_0,T30,0
30262,WEEKEND,115_0_WE_3,SHP_30262_0,T30,0
30262,WEEKEND,115_0_WE_4,SHP_30262_0,T30,0
30262,WEEKEND,115_0_WE_5,SHP_30262_0,T30,0
30262,WEEKEND,115_0_WE_6,SHP_30262_0,T30,0
30262,WEEKEND,115_0_WE_7,SHP_30262_0,T30,0
30262,WEEKEND,115_0_WE_8,SHP_30262_0,T30,0
30262,WEEKEND,115_0_WE_9,SHP_30262_0,T30,0
30262,WEEKEND,115_0_WE_10,SHP_30262_0,T30,0
30262,WEEKEND,115_0_WE_11,SHP_30262_0,T30,0
30262,WEEKEND,115_0_WE_12,SHP_30262_0,T30,0
30262,WEEKEND,115_0_WE_13,SHP_30262_0,T30,0
30262,WEEKEND,115_0_WE_14,SHP_30262_0,T30,0
30262,WEEKEND,115_1_WE_1,SHP_30262_1,T30,1
30262,WEEKEND,115_1_WE_2,SHP_30262_1,T30,1
30262,WEEKEND,115_1_WE_3,SHP_30262_1,T30,1
30262,WEEKEND,115_1_WE_4,SHP_30262_1,T30,1
30262,WEEKEND,115_1_WE_5,SHP_30262_1,T30,1
30262,WEEKEND,115_1_WE_6,SHP_30262_1,T30,1
30262,WEEKEND,115_1_WE_7,SHP_30262_1,T30,1
30262,WEEKEND,115_1_WE_8,SHP_30262_1,T30,1
30262,WEEKEND,115_1_WE_9,SHP_30262_1,T30,1
30262,WEEKEND,115_1_WE_10,SHP_30262_1,T30,1
30262,WEEKEND,115_1_WE_11,SHP_30262_1,T30,1
30262,WEEKEND,115_1_WE_12,SHP_30262_1,T30,1
30262,WEEKEND,115_1_WE_13,SHP_30262_1,T30,1
30262,WEEKEND,115_1_WE_14,SHP_30262_1,T30,1
30375,WEEKEND,185_0_WE_1,SHP_30375_0,T11A,0
30375,WEEKEND,185_0_WE_2,SHP_30375_0,T11A,0
30375,WEEKEND,185_0_WE_3,SHP_30375_0,T11A,0
30375,WEEKEND,185_0_WE_4,SHP_30375_0,T11A,0
30375,WEEKEND,185_0_WE_5,SHP_30375_0,T11A,0
30375,WEEKEND,185_0_WE_6,SHP_30375_0,T11A,0
30375,WEEKEND,185_1_WE_1,SHP_30375_1,T11A,1
30375,WEEKEND,185_1_WE_2,SHP_30375_1,T11A,1
30375,WEEKEND,185_1_WE_3,SHP_30375_1,T11A,1
30375,WEEKEND,185_1_WE_4,SHP_30375_1,T11A,1
30375,WEEKEND,185_1_WE_5,SHP_30375_1,T11A,1
30375,WEEKEND,185_1_WE_6,SHP_30375_1,T11A,1
30376,WEEKEND,186_0_WE_1,SHP_30376_0,T11B,0
30376,WEEKEND,186_0_WE_2,SHP_30376_0,T11B,0
30376,WEEKEND,186_0_WE_3,SHP_30376_0,T11B,0
30376,WEEKEND,186_0_WE_4,SHP_30376_0,T11B,0
30376,WEEKEND,186_0_WE_5,SHP_30376_0,T11B,0
30376,WEEKEND,186_0_WE_6,SHP_30376_0,T11B,0
30376,WEEKEND,186_0_WE_7,SHP_30376_0,T11B,0
30376,WEEKEND,186_0_WE_8,SHP_30376_0,T11B,0
30376,WEEKEND,186_1_WE_1,SHP_30376_1,T11B,1
30376,WEEKEND,186_1_WE_2,SHP_30376_1,T11B,1
30376,WEEKEND,186_1_WE_3,SHP_30376_1,T11B,1
30376,WEEKEND,186_1_WE_4,SHP_30376_1,T11B,1
30376,WEEKEND,186_1_WE_5,SHP_30376_1,T11B,1
30376,WEEKEND,186_1_WE_6,SHP_30376_1,T11B,1
30376,WEEKEND,186_1_WE_7,SHP_30376_1,T11B,1
30376,WEEKEND,186_1_WE_8,SHP_30376_1,T11B,1
30377,WEEKEND,187_0_WE_1,SHP_30377_0,T22,0
30377,WEEKEND,187_0_WE_2,SHP_30377_0,T22,0
30377,WEEKEND,187_0_WE_3,SHP_30377_0,T22,0
30377,WEEKEND,187_0_WE_4,SHP_30377_0,T22,0
30377,WEEKEND,187_0_WE_5,SHP_30377_0,T22,0
30377,WEEKEND,187_0_WE_6,SHP_30377_0,T22,0
30377,WEEKEND,187_0_WE_7,SHP_30377_0,T22,0
30377,WEEKEND,187_0_WE_8,SHP_30377_0,T22,0
30377,WEEKEND,187_0_WE_9,SHP_30377_0,T22,0
30377,WEEKEND,187_0_WE_10,SHP_30377_0,T22,0
30377,WEEKEND,187_0_WE_11,SHP_30377_0,T22,0
30377,WEEKEND,187_0_WE_12,SHP_30377_0,T22,0
30377,WEEKEND,187_1_WE_1,SHP_30377_1,T22,1
30377,WEEKEND,187_1_WE_2,SHP_30377_1,T22,1
30377,WEEKEND,187_1_WE_3,SHP_30377_1,T22,1
30377,WEEKEND,187_1_WE_4,SHP_30377_1,T22,1
30377,WEEKEND,187_1_WE_5,SHP_30377_1,T22,1
30377,WEEKEND,187_1_WE_6,SHP_30377_1,T22,1
30377,WEEKEND,187_1_WE_7,SHP_30377_1,T22,1
30377,WEEKEND,187_1_WE_8,SHP_30377_1,T22,1
30377,WEEKEND,187_1_WE_9,SHP_30377_1,T22,1
30377,WEEKEND,187_1_WE_10,SHP_30377_1,T22,1
30377,WEEKEND,187_1_WE_11,SHP_30377_1,T22,1
30377,WEEKEND,187_1_WE_12,SHP_30377_1,T22,1
30378,WEEKEND,188_0_WE_1,SHP_30378_0,T21,0
30378,WEEKEND,188_0_WE_2,SHP_30378_0,T21,0
30378,WEEKEND,188_0_WE_3,SHP_30378_0,T21,0
30378,WEEKEND,188_0_WE_4,SHP_30378_0,T21,0
30378,WEEKEND,188_0_WE_5,SHP_30378_0,T21,0
30378,WEEKEND,188_0_WE_6,SHP_30378_0,T21,0
30378,WEEKEND,188_0_WE_7,SHP_30378_0,T21,0
30378,WEEKEND,188_0_WE_8,SHP_30378_0,T21,0
30378,WEEKEND,188_0_WE_9,SHP_30378_0,T21,0
30378,WEEKEND,188_0_WE_10,SHP_30378_0,T21,0
30378,WEEKEND,188_0_WE_11,SHP_30378_0,T21,0
30378,WEEKEND,188_0_WE_12,SHP_30378_0,T21,0
30378,WEEKEND,188_1_WE_1,SHP_30378_1,T21,1
30378,WEEKEND,188_1_WE_2,SHP_30378_1,T21,1
30378,WEEKEND,188_1_WE_3,SHP_30378_1,T21,1
30378,WEEKEND,188_1_WE_4,SHP_30378_1,T21,1
30378,WEEKEND,188_1_WE_5,SHP_30378_1,T21,1
30378,WEEKEND,188_1_WE_6,SHP_30378_1,T21,1
