stop_id,stop_code,stop_name,stop_lat,stop_lon,parent_station
SBKK_T31A,T31A,STESEN BAS KUALA KANGSAR,4.77127600,100.93951900,
SBKK_T31AR,T31AR,STESEN BAS KUALA KANGSAR,4.77127600,100.93951900,
SBKK_T31B,T31B,STESEN BAS KUALA KANGSAR,4.77127600,100.93951900,
SBKK_T31BR,T31BR,STESEN BAS KUALA KANGSAR,4.77127600,100.93951900,
SCH_T34R,T34R,SIMPANG CAMERON HIGHLANDS,4.52832959,101.13061669,
SCH_T34,T34,SIMPANG CAMERON HIGHLANDS,4.52832959,101.13061669,
SECOT_23,23,SEPARI COTTAGE,4.08847085,101.24782626,
SECOT_23R,23R,SEPARI COTTAGE,4.08847085,101.24782626,
SECOT_29,29,SEPARI COTTAGE,4.08847085,101.24782626,
SECOT_29R,29R,SEPARI COTTAGE,4.08847085,101.24782626,
SENGAT_T34,T34,SENGAT,4.54214318,101.12188873,
SENGAT_T34R,T34R,SENGAT,4.54214318,101.12188873,
SGBLH_T31B,T31B,SG BULUH SG SIPUT,4.82389786,101.06443197,
SGBLH_T31AR,T31AR,SG BULUH SG SIPUT,4.82389786,101.06443197,
SGBLH_T31A,T31A,SG BULUH SG SIPUT,4.82389786,101.06443198,
SGBLH_T31BR,T31BR,SG BULUH SG SIPUT,4.82389786,101.06443197,
SHELLJLNRJ_T34,T34,SHELL JALAN RAJA PERMAISURI BAINUN,4.58515500,101.08694010,
SHELLJLNRJ_T34R,T34R,SHELL JALAN RAJA PERMAISURI BAINUN,4.58515500,101.08694010,
SHELLJLNRJ_T37,T37,SHELL JALAN RAJA PERMAISURI BAINUN,4.58515500,101.08694010,
SHELLJLNRJ_T37R,T37R,SHELL JALAN RAJA PERMAISURI BAINUN,4.58515500,101.08694010,
SHELLJT_F101BR,F101BR,SHELL JALAN TAMBUN,4.61636011,101.14493332,
SHELLJT_F101AR,F101AR,SHELL JALAN TAMBUN,4.61636011,101.14493332,
SHELLJT_F101B,F101B,SHELL JALAN TAMBUN,4.61636011,101.14493332,
SHELLJT_F101A,F101A,SHELL JALAN TAMBUN,4.61636011,101.14493332,
SHELLJT_T33A,T33A,SHELL JALAN TAMBUN,4.61636011,101.14493332,
SHELLJT_T33AR,T33AR,SHELL JALAN TAMBUN,4.61636011,101.14493332,
SHELLJT_T33B,T33B,SHELL JALAN TAMBUN,4.61636011,101.14493332,
SHELLJT_T33BR,T33BR,SHELL JALAN TAMBUN,4.61636011,101.14493332,
SHSTAT_23,23,SHELL STATION,4.11348259,101.28581417,
SHSTAT_23R,23R,SHELL STATION,4.11348259,101.28581417,
SHSTAT_29,29,SHELL STATION,4.11348259,101.28581417,
SHSTAT_29R,29R,SHELL STATION,4.11348259,101.28581417,
SIDNEY_T30A,T30A,SIDNEY INDUSTRIES,4.64411338,101.06782973,
SIDNEY_T30AR,T30AR,SIDNEY INDUSTRIES,4.64411338,101.06782972,
SIDNEY_T30B,T30B,SIDNEY INDUSTRIES,4.64411338,101.06782972,
SIDNEY_T30BR,T30BR,SIDNEY INDUSTRIES,4.64411338,101.06782972,
SIS_T32,T32,SEKOLAH IZUDDIN SHAH,4.59309200,101.11786000,
SIS_T32R,T32R,SEKOLAH IZUDDIN SHAH,4.59309200,101.11786000,
SIS_T33A,T33A,SEKOLAH IZUDDIN SHAH,4.59309200,101.11786000,
SIS_T33AR,T33AR,SEKOLAH IZUDDIN SHAH,4.59309200,101.11786000,
SJKCBCHAM_T32,T32,SJKC BERCHAM,4.63703865,101.13010956,
SJKCBCHAM_T32R,T32R,SJKC BERCHAM,4.63703865,101.13010955,
SJKCBSB_T37,T37,SJKC BANDAR SERI BOTANI,4.54084302,101.10612631,
SJKCBSB_T37R,T37R,SJKC BANDAR SERI BOTANI,4.54084302,101.10612630,
SJKCKB_29,29,SJKC KUALA BIKAM,4.02266686,101.24064090,
SJKCKB_29R,29R,SJKC KUALA BIKAM,4.02266686,101.24064089,
SJKCRM_T31BR,T31BR,SJKC RIMBA PANJANG,4.79668799,101.10231516,
SJKCRM_T31B,T31B,SJKC RIMBA PANJANG,4.79668799,101.10231516,
SJKCRM_T31AR,T31AR,SJKC RIMBA PANJANG,4.79668799,101.10231516,
SJKCRM_T31A,T31A,SJKC RIMBA PANJANG,4.79668799,101.10231516,
SJKSEPUTEH_T36,T36,SJK SEPUTEH,4.46785023,100.99855363,
SJKSEPUTEH_T36R,T36R,SJK SEPUTEH,4.46785023,100.99855363,
SJKTKI1_F102,F102,SJKT KERAJAAN IPOH 1,4.59195872,101.06803894,
SJKTKI1_F102R,F102R,SJKT KERAJAAN IPOH 1,4.59195872,101.06803894,
SJKTKI2_F102,F102,SJKT KERAJAAN IPOH 2,4.59195872,101.06803894,
SJKTKI2_F102R,F102R,SJKT KERAJAAN IPOH 2,4.59195872,101.06803894,
SJKTLB_23,23,SJKT LADANG BANOPDANE,4.09437267,101.25546737,
SJKTLB_23R,23R,SJKT LADANG BANOPDANE,4.09437267,101.25546736,
SJKTLB_29,29,SJKT LADANG BANOPDANE,4.09437267,101.25546736,
SJKTLB_29R,29R,SJKT LADANG BANOPDANE,4.09437267,101.25546736,
SJKTMB1_F102,F102,SJKT METHODIST BUNTONG 1,4.59157622,101.06083664,
SJKTMB1_F102R,F102R,SJKT METHODIST BUNTONG 1,4.59157622,101.06083663,
SJKTMB2_F102R,F102R,SJKT METHODIST BUNTONG 2,4.59157622,101.06083663,
SJKTMB2_F102,F102,SJKT METHODIST BUNTONG 2,4.59157622,101.06083663,
SJKTPS_T30,T30,SJKT PERAK SANGEETHA,4.59752513,101.07043684,
SJKTPS_T30R,T30R,SJKT PERAK SANGEETHA,4.59752513,101.07043683,
SJKTPS_T30B,T30B,SJKT PERAK SANGEETHA,4.59752513,101.07043683,
SJKTPS_T30BR,T30BR,SJKT PERAK SANGEETHA,4.59752513,101.07043683,
SJKTPS_T31B,T31B,SJKT PERAK SANGEETHA,4.59752513,101.07043683,
SJKTPS_T31BR,T31BR,SJKT PERAK SANGEETHA,4.59752513,101.07043683,
SJKTS1_F101B,F101B,SJKT SIMEE 1,4.61731468,101.11280501,
SJKTS1_F101BR,F101BR,SJKT SIMEE 1,4.61731468,101.11280500,
SJKTS2_F101B,F101B,SJKT SIMEE 2,4.61731468,101.11280500,
SJKTS2_F101BR,F101BR,SJKT SIMEE 2,4.61731468,101.11280500,
SKBIDOR2_23,23,SK BIDOR 2,4.11507394,101.27866160,
SKBIDOR2_23R,23R,SK BIDOR 2,4.11507394,101.27866159,
SKBIDOR2_29,29,SK BIDOR 2,4.11507394,101.27866159,
SKBIDOR2_29R,29R,SK BIDOR 2,4.11507394,101.27866159,
SKBUNTONG_F102,F102,SK BUNTONG,4.58743814,101.04616460,
SKBUNTONG_F102R,F102R,SK BUNTONG,4.58743814,101.04616460,
SKGTSP1_F102R,F102R,SIMPANG KG TERSUSUN SUNGAI PARI 1,4.59110182,101.05819578,
SKGTSP1_F102,F102,SIMPANG KG TERSUSUN SUNGAI PARI 1,4.59110182,101.05819579,
SKGTSP2_F102,F102,SIMPANG KG TERSUSUN SUNGAI PARI 2,4.59110182,101.05819578,
SKGTSP2_F102R,F102R,SIMPANG KG TERSUSUN SUNGAI PARI 2,4.59110182,101.05819578,
SKJM_23,23,SK JERAM MENGKUANG,4.06742023,101.24101510,
SKJM_23R,23R,SK JERAM MENGKUANG,4.06742023,101.24101509,
SKJM_29,29,SK JERAM MENGKUANG,4.06742023,101.24101509,
SKJM_29R,29R,SK JERAM MENGKUANG,4.06742023,101.24101509,
SKMETHO_T31AR,T31AR,SEKOLAH METHODIST,4.81238730,101.08514327,
SKMETHO_T31A,T31A,SEKOLAH METHODIST,4.81238730,101.08514327,
SKMETHO_T31BR,T31BR,SEKOLAH METHODIST,4.81238730,101.08514327,
SKMETHO_T31B,T31B,SEKOLAH METHODIST,4.81238730,101.08514327,
SKMGS_T34,T34,SKMGS,4.58704560,101.08458660,
SKMGS_T34R,T34R,SKMGS,4.58704560,101.08458660,
SKPDGAMPG_T31A,T31A,SK PADANG AMPANG,4.81001977,100.95427854,
SKPDGAMPG_T31AR,T31AR,SK PADANG AMPANG,4.81001977,100.95427854,
SKPDGAMPG_T31B,T31B,SK PADANG AMPANG,4.81001977,100.95427854,
SKPDGAMPG_T31BR,T31BR,SK PADANG AMPANG,4.81001977,100.95427854,
SKPGKLN_T35,T35,SK PENGKALAN,4.53107292,101.08537674,
SKPGKLN_T35R,T35R,SK PENGKALAN,4.53107292,101.08537673,
SKPGKLNPG1_T35,T35,SK PENGKALAN PEGOH 1,4.53170929,101.06992185,
SKPGKLNPG1_T35R,T35R,SK PENGKALAN PEGOH 1,4.53170929,101.06992185,
SKPGKLNPG2_T35,T35,SK PENGKALAN PEGOH 2,4.53295530,101.06922984,
SKPGKLNPG2_T35R,T35R,SK PENGKALAN PEGOH 2,4.53295530,101.06922984,
SKPJ_F101A,F101A,SK PAKATAN JAYA,4.63873447,101.14430487,
SKPJ_F101AR,F101AR,SK PAKATAN JAYA,4.63873447,101.14430487,
SKPJ_F101B,F101B,SK PAKATAN JAYA,4.63873447,101.14430487,
SKPJ_F101BR,F101BR,SK PAKATAN JAYA,4.63873447,101.14430487,
SKSA1_F103R,F103R,SK SERI AMPANG 1,4.58396194,101.12721651,
SKSA1_F103,F103,SK SERI AMPANG 1,4.58396194,101.12721652,
SKSA2_F103,F103,SK SERI AMPANG 2,4.58396194,101.12721651,
SKSA2_F103R,F103R,SK SERI AMPANG 2,4.58396194,101.12721651,
SKSKFP_F101A,F101A,SK SERI KEPAYANG FAIR PARK,4.60686121,101.09452307,
SKSKFP_F101AR,F101AR,SK SERI KEPAYANG FAIR PARK,4.60686121,101.09452307,
SKSKFP_F101B,F101B,SK SERI KEPAYANG FAIR PARK,4.60686121,101.09452307,
SKSKFP_F101BR,F101BR,SK SERI KEPAYANG FAIR PARK,4.60686121,101.09452307,
