stop_id,stop_code,stop_name,stop_lat,stop_lon,parent_station
KUTIPH_KUTIPH,KUTIPH,KAMPUNG UJONG TANJUNG IPOH 2,2.73936870,102.19756007,
KUTIPH_KUTIPHR,KUTIPHR,KAMPUNG UJONG TANJUNG IPOH 2,2.73936870,102.19756007,
SPGATTG_SPGATTG,SPGATTG,SIMPANG AMPANG TINGGI,2.73712358,102.20760226,
SPGATTG_SPGATTGR,SPGATTGR,SIMPANG AMPANG TINGGI,2.73712358,102.20760226,
IPDKP_IPDKP,IPDKP,IPD KUALA PILAH,2.73612693,102.22551942,
IPDKP_IPDKPR,IPDKPR,IPD KUALA PILAH,2.73612693,102.22551941,
KDMT_KDMT,KDMT,KLINIK DESA MELANG TENGAH,2.73569291,102.22836256,
KDMT_KDMTR,KDMTR,KLINIK DESA MELANG TENGAH,2.73569291,102.22836256,
KDMT_N11,N11,KLINIK DESA MELANG TENGAH,2.73569291,102.22836256,
KDMT_N11R,N11R,KLINIK DESA MELANG TENGAH,2.73569291,102.22836256,
BT4JLNJ_BT4JLNJ,BT4JLNJ,BATU 4 JALAN JELEBU,2.73961683,101.98067348,
BT4JLNJ_BT4JLNJR,BT4JLNJR,BATU 4 JALAN JELEBU,2.73961683,101.98067348,
KLGLMABT4_KLGLMABT4,KLGLMABT4,KILANG LAMA BATU 4,2.73839797,101.98546090,
KLGLMABT4_KLGLMABT4R,KLGLMABT4R,KILANG LAMA BATU 4,2.73839797,101.98546090,
BT412_BT412,BT412,BATU 4 1/2,2.74128272,101.98987175,
BT412_BT412R,BT412R,BATU 4 1/2,2.74128272,101.98987175,
GMSBN_GMSBN,GMSBN,GIATMARA SEREMBAN,2.76128999,101.99964860,
GMSBN_GMSBNR,GMSBNR,GIATMARA SEREMBAN,2.76128999,101.99964860,
KGBKTKBT_KGBKTKBT,KGBKTKBT,KG BKT KUBOT,2.76541506,102.00178027,
KGBKTKBT_KGBKTKBTR,KGBKTKBTR,KG BKT KUBOT,2.76541506,102.00178027,
BLIRYA_BLIRYA,BLIRYA,BALAI RAYA,2.77597363,101.99119609,
BLIRYA_BLIRYAR,BLIRYAR,BALAI RAYA,2.77597363,101.99119609,
KGBBT8_KGBBT8,KGBBT8,KG BEMBAN BATU 8,2.77855894,101.99201339,
KGBBT8_KGBBT8R,KGBBT8R,KG BEMBAN BATU 8,2.77855894,101.99201339,
PKNPTI_PKNPTI,PKNPTI,PEKAN PANTAI,2.78163225,101.99257357,
PKNPTI_PKNPTIR,PKNPTIR,PEKAN PANTAI,2.78163225,101.99257357,
KDPNTI_KDPNTI,KDPNTI,KLINIK DESA PANTAI,2.78458247,101.99255866,
KDPNTI_KDPNTIR,KDPNTIR,KLINIK DESA PANTAI,2.78458247,101.99255866,
KGBRPNTI_KGBRPNTI,KGBRPNTI,KG BARU PANTAI,2.78619931,101.99222803,
KGBRPNTI_KGBRPNTIR,KGBRPNTIR,KG BARU PANTAI,2.78619931,101.99222803,
BT814_BT814,BT814,BATU 8 1/4,2.78766375,101.99197325,
BT814_BT814R,BT814R,BATU 8 1/4,2.78766375,101.99197325,
KGGYN_KGGYN,KGGYN,KG GAYAN BATU 9,2.79255527,101.99112244,
KGGYN_KGGYNR,KGGYNR,KG GAYAN BATU 9,2.79255527,101.99112244,
KGGATH_KGGATH,KGGATH,KG GATUH BATU 9,2.79670327,101.99234120,
KGGATH_KGGATHR,KGGATHR,KG GATUH BATU 9,2.79670327,101.99234120,
KGPJM_KGPJM,KGPJM,KG PAJAM BATU 10,2.79959017,101.99271981,
KGPJM_KGPJMR,KGPJMR,KG PAJAM BATU 10,2.79959017,101.99271981,
SPGLGG_SPGLGGR,SPGLGGR,SIMPANG LENGGENG,2.80979320,101.99278521,
SPGLGG_SPGLGG,SPGLGG,SIMPANG LENGGENG,2.80979320,101.99278521,
KGNN_KGNN,KGNN,KG NGOI NGOI,2.81196260,101.99548143,
KGNN_KGNNR,KGNNR,KG NGOI NGOI,2.81196260,101.99548143,
TMNSTJG_TMNSTJG,TMNSTJG,TAMAN SRI TANJONG,2.72158977,101.96421862,
TMNSTJG_TMNSTJGR,TMNSTJGR,TAMAN SRI TANJONG,2.72158977,101.96421861,
KGBRUBC_KGBRUBC,KGBRUBC,KG BARU BLOCK C1,2.72154691,101.96233571,
KGBRUBC_KGBRUBCR,KGBRUBCR,KG BARU BLOCK C1,2.72090390,101.96128964,
KGBRUBC_KBC,KBC,KG BARU BLOCK C1,2.71989117,101.95828289,
KGBRUBC_KBCR,KBCR,KG BARU BLOCK C1,2.71989117,101.95828288,
TMNNYIOR_TMNNYIOR,TMNNYIOR,TAMAN NYIOR,2.72085032,101.96036160,
TMNNYIOR_TMNNYIORR,TMNNYIORR,TAMAN NYIOR,2.71860516,101.95717514,
TMNNYIOR_TN,TN,TAMAN NYIOR,2.71647922,101.95894137,
TMNNYIOR_TNR,TNR,TAMAN NYIOR,2.71647922,101.95894137,
JPLIG_JPLIG,JPLIG,JERAM PERLING,2.82074008,101.99936137,
JPLIG_JPLIGR,JPLIGR,JERAM PERLING,2.82074008,101.99936137,
TCBTT_TCBTT,TCBTT,TOKONG CINA BKT TANGGA,2.84120180,101.99971318,
TCBTT_TCBTTR,TCBTTR,TOKONG CINA BKT TANGGA,2.84120180,101.99971318,
JTOI_JTOI,JTOI,JERAM TOI,2.86489337,102.01241298,
JTOI_JTOIR,JTOIR,JERAM TOI,2.86489337,102.01241298,
KGBT17_KGBT17,KGBT17,KG BATU 17,2.87432242,102.01772578,
KGBT17_KGBT17R,KGBT17R,KG BATU 17,2.87432242,102.01772578,
JB1716_JB1716,JB1716,JALAN BATU 17/6,2.87921186,102.01981661,
JB1716_JB1716R,JB1716R,JALAN BATU 17/6,2.87921186,102.01981661,
JLNKGBT18_JLNKGBT18,JLNKGBT18,JALAN KG BATU 18,2.88261294,102.02153176,
JLNKGBT18_JLNKGBT18R,JLNKGBT18R,JALAN KG BATU 18,2.88261294,102.02153176,
PETALING_PETALING,PETALING,PETALING,2.94814329,102.06027272,
PETALING_PETALINGR,PETALINGR,PETALING,2.94814329,102.06027272,
TMNSKIBG_TMNSKIBG,TMNSKIBG,TAMAN SERI KIAMBANG,2.71023834,101.97864654,
TMNSKIBG_TMNSKIBGR,TMNSKIBGR,TAMAN SERI KIAMBANG,2.71023834,101.97864654,
ASOFA_ASOFA,ASOFA,SEK TINGGI ISLAM AS SOFA,2.70967270,101.99653446,
ASOFA_ASOFAR,ASOFAR,SEK TINGGI ISLAM AS SOFA,2.70967270,101.99653446,
MATAHARI_MATAHARI,MATAHARI,MATAHARI HEIGHTS,2.70862260,101.99540600,
MATAHARI_MATAHARIR,MATAHARIR,MATAHARI HEIGHTS,2.70862260,101.99540600,
TAIPANSNWG_TAIPANSNWG,TAIPANSNWG,TAIPAN SENAWANG,2.70590166,101.98856331,
TAIPANSNWG_TAIPANSNWGR,TAIPANSNWGR,TAIPAN SENAWANG,2.70590166,101.98856331,
MYBINSNWG_MYBINSNWG,MYBINSNWG,MYDIN SENAWANG,2.70033503,101.98076873,
MYBINSNWG_MYBINSNWGR,MYBINSNWGR,MYDIN SENAWANG,2.70033503,101.98076873,
KITAMURA_KITAMURA,KITAMURA,KILANG MATEK KITAMURA,2.69252682,101.97963418,
KITAMURA_KITAMURAR,KITAMURAR,KILANG MATEK KITAMURA,2.69252682,101.97963418,
ONSEMI_ONSEMI,ONSEMI,KILANG ON SEMICONDUCTOR,2.68951769,101.98210070,
ONSEMI_ONSEMIR,ONSEMIR,KILANG ON SEMICONDUCTOR,2.68951769,101.98210070,
KIMHINCER_KIMHINCER,KIMHINCER,KILANG KIM HIN CERAMIC,2.68060790,101.98774765,
KIMHINCER_KIMHINCERR,KIMHINCERR,KILANG KIM HIN CERAMIC,2.68060790,101.98774765,
INMAX_INMAX,INMAX,KILANG INMAX / YANO MALAYSIA,2.67668875,101.99140366,
INMAX_INMAXR,INMAXR,KILANG INMAX / YANO MALAYSIA,2.67668875,101.99140366,
SJKTLSBN_SJKTLSBN,SJKTLSBN,SJKT LADANG SEREMBAN,2.65711714,101.99386515,
SJKTLSBN_SJKTLSBNR,SJKTLSBNR,SJKT LADANG SEREMBAN,2.65711714,101.99386515,
SDAR_SDAR,SDAR,SEKOLAH DATO  ABDUL RAZAK,2.64683702,101.99098836,
SDAR_SDARR,SDARR,SEKOLAH DATO  ABDUL RAZAK,2.64683702,101.99098836,
RTM_RTM,RTM,KOMPLEKS PENYIARAN TUANKU MUHAMMAD RTM,2.64494126,101.99077748,
RTM_RTMR,RTMR,KOMPLEKS PENYIARAN TUANKU MUHAMMAD RTM,2.64494126,101.99077748,
KCUR_KCUR,KCUR,KAMPUNG CINA ULU RANTAU,2.63951761,101.98951039,
KCUR_KCURR,KCURR,KAMPUNG CINA ULU RANTAU,2.63951761,101.98951039,
TMNSPRMTA_TMNSPRMTA,TMNSPRMTA,TAMAN SRI PERMATA,2.63560433,101.98514950,
TMNSPRMTA_TMNSPRMTAR,TMNSPRMTAR,TAMAN SRI PERMATA,2.63560433,101.98514950,
SJKTLDGKBK_SJKTLDGKBK,SJKTLDGKBK,SKJT LADANG KOMBOK,2.61940639,101.98682654,
SJKTLDGKBK_SJKTLDGKBKR,SJKTLDGKBKR,SKJT LADANG KOMBOK,2.61940639,101.98682654,
KGKMBK_KGKMBK,KGKMBK,KAMPUNG KOMBOK,2.61681912,101.98343021,
KGKMBK_KGKMBKR,KGKMBKR,KAMPUNG KOMBOK,2.61681912,101.98343020,
KGULLG_KGULLG,KGULLG,KAMPUNG ULU LALANG,2.61414231,101.97710529,
KGULLG_KGULLGR,KGULLGR,KAMPUNG ULU LALANG,2.61414231,101.97710529,
KGULLG_KU,KU,KAMPUNG ULU LALANG,2.79504871,102.34347616,
KGULLG_KUR,KUR,KAMPUNG ULU LALANG,2.79504871,102.34347616,
SJKTLDGLGS_SJKTLDGLGS,SJKTLDGLGS,SKJT LADANG LINSUM,2.57174637,101.96136174,
SJKTLDGLGS_SJKTLDGLGSR,SJKTLDGLGSR,SKJT LADANG LINSUM,2.57174637,101.96136174,
SDLS_SDLS,SDLS,SIME DARBY PLANTATION LADANG LINSUM,2.56894150,101.96147280,
SDLS_SDLSR,SDLSR,SIME DARBY PLANTATION LADANG LINSUM,2.56894150,101.96147280,
MAJORIE_MAJORIE,MAJORIE,LADANG MAJORIE,2.56337317,101.96132030,
MAJORIE_MAJORIER,MAJORIER,LADANG MAJORIE,2.56337317,101.96132030,
PKNARKNG_PKNARKNG,PKNARKNG,PEKAN AIR KUNING,2.54852282,101.97556088,
PKNARKNG_PKNARKNGR,PKNARKNGR,PEKAN AIR KUNING,2.54852282,101.97556088,
KGTKAU_KGTKAU,KGTKAU,KG TAKAU RANTAU,2.54289946,101.98411690,
KGTKAU_KGTKAUR,KGTKAUR,KG TAKAU RANTAU,2.54289946,101.98411690,
KGTKAU_KTR,KTR,KG TAKAU RANTAU,2.59725882,101.96351711,
KGTKAU_KTRR,KTRR,KG TAKAU RANTAU,2.59725882,101.96351711,
KGTKAU2_KGTKAU2,KGTKAU2,KAMPUNG TAKAU 2,2.54005392,101.98486024,
KGTKAU2_KGTKAU2R,KGTKAU2R,KAMPUNG TAKAU 2,2.54005392,101.98486024,
SPGLRGT5_SPGLRGT5,SPGLRGT5,SIMPANG LORONG TAKAU 5,2.53557483,101.98692438,
SPGLRGT5_SPGLRGT5R,SPGLRGT5R,SIMPANG LORONG TAKAU 5,2.53557483,101.98692438,
SJKTLTMPIN_SJKTLTMPIN,SJKTLTMPIN,SKJT LADANG TAMPIN LINGGI,2.51794969,101.99606180,
SJKTLTMPIN_SJKTLTMPINR,SJKTLTMPINR,SKJT LADANG TAMPIN LINGGI,2.51794969,101.99606180,
SPGLRGMTI_SPGLRGMTI,SPGLRGMTI,SIMPANG LORONG MERANTI,2.51394708,101.99843014,
SPGLRGMTI_SPGLRGMTIR,SPGLRGMTIR,SIMPANG LORONG MERANTI,2.51394708,101.99843014,
PKKTLGGI_PKKTLGGI,PKKTLGGI,PUSAT KOMUNITI KAMPUNG TAMPIN LINGGI,2.51174453,101.99989090,
PKKTLGGI_PKKTLGGIR,PKKTLGGIR,PUSAT KOMUNITI KAMPUNG TAMPIN LINGGI,2.51174453,101.99989090,
SPHLNYTH_SPHLNYTH,SPHLNYTH,SIMPANG LORONG NYATOH,2.50849461,102.00188605,
SPHLNYTH_SPHLNYTHR,SPHLNYTHR,SIMPANG LORONG NYATOH,2.50849461,102.00188605,
FKGTPN_FKGTPN,FKGTPN,FELCRA KAMPUNG TAMPIN LINGGI,2.50683837,102.00288757,
FKGTPN_FKGTPNR,FKGTPNR,FELCRA KAMPUNG TAMPIN LINGGI,2.50683837,102.00288757,
SPGLRGSRYA_SPGLRGSRYA,SPGLRGSRYA,SIMPANG LORONG SERAYA,2.50334175,102.00291935,
SPGLRGSRYA_SPGLRGSRYAR,SPGLRGSRYAR,SIMPANG LORONG SERAYA,2.50334175,102.00291935,
RRLGGI_RRLGGI,RRLGGI,RUMAH RAKYAT LINGGI,2.49788303,102.00321581,
RRLGGI_RRLGGIR,RRLGGIR,RUMAH RAKYAT LINGGI,2.49788303,102.00321581,
SMKDMYSF_SMKDMYSF,SMKDMYSF,SMK DATUK MUHAMMAD YUSOF,2.49502865,102.00415026,
