trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
214_0_WE_2,08:06:00,08:06:10,6791,22,0
214_0_WE_2,08:07:00,08:07:10,6792,23,0
214_0_WE_2,08:08:00,08:08:10,6793,24,0
214_0_WE_2,08:10:00,08:10:10,6794,25,0
214_0_WE_2,08:11:00,08:11:10,6795,26,0
214_0_WE_3,08:30:00,08:30:10,6973,1,0
214_0_WE_3,08:31:00,08:31:10,6591,2,0
214_0_WE_3,08:32:00,08:32:10,6592,3,0
214_0_WE_3,08:33:00,08:33:10,6593,4,0
214_0_WE_3,08:34:00,08:34:10,6595,5,0
214_0_WE_3,08:35:00,08:35:10,6596,6,0
214_0_WE_3,08:36:00,08:36:10,6597,7,0
214_0_WE_3,08:37:00,08:37:10,6598,8,0
214_0_WE_3,08:38:00,08:38:10,6779,9,0
214_0_WE_3,08:39:00,08:39:10,6780,10,0
214_0_WE_3,08:40:00,08:40:10,6781,11,0
214_0_WE_3,08:41:00,08:41:10,6782,12,0
214_0_WE_3,08:43:00,08:43:10,6783,13,0
214_0_WE_3,08:44:00,08:44:10,6784,14,0
214_0_WE_3,08:51:00,08:51:10,6605,15,0
214_0_WE_3,08:52:00,08:52:10,6606,16,0
214_0_WE_3,08:53:00,08:53:10,6607,17,0
214_0_WE_3,08:55:00,08:55:10,6608,18,0
214_0_WE_3,09:02:00,09:02:10,6610,19,0
214_0_WE_3,09:04:00,09:04:10,6611,20,0
214_0_WE_3,09:05:00,09:05:10,6790,21,0
214_0_WE_3,09:06:00,09:06:10,6791,22,0
214_0_WE_3,09:07:00,09:07:10,6792,23,0
214_0_WE_3,09:08:00,09:08:10,6793,24,0
214_0_WE_3,09:10:00,09:10:10,6794,25,0
214_0_WE_3,09:11:00,09:11:10,6795,26,0
214_0_WE_4,09:30:00,09:30:10,6973,1,0
214_0_WE_4,09:31:00,09:31:10,6591,2,0
214_0_WE_4,09:32:00,09:32:10,6592,3,0
214_0_WE_4,09:33:00,09:33:10,6593,4,0
214_0_WE_4,09:34:00,09:34:10,6595,5,0
214_0_WE_4,09:35:00,09:35:10,6596,6,0
214_0_WE_4,09:36:00,09:36:10,6597,7,0
214_0_WE_4,09:37:00,09:37:10,6598,8,0
214_0_WE_4,09:38:00,09:38:10,6779,9,0
214_0_WE_4,09:39:00,09:39:10,6780,10,0
214_0_WE_4,09:40:00,09:40:10,6781,11,0
214_0_WE_4,09:41:00,09:41:10,6782,12,0
214_0_WE_4,09:43:00,09:43:10,6783,13,0
214_0_WE_4,09:44:00,09:44:10,6784,14,0
214_0_WE_4,09:51:00,09:51:10,6605,15,0
214_0_WE_4,09:52:00,09:52:10,6606,16,0
214_0_WE_4,09:53:00,09:53:10,6607,17,0
214_0_WE_4,09:55:00,09:55:10,6608,18,0
214_0_WE_4,10:02:00,10:02:10,6610,19,0
214_0_WE_4,10:04:00,10:04:10,6611,20,0
214_0_WE_4,10:05:00,10:05:10,6790,21,0
214_0_WE_4,10:06:00,10:06:10,6791,22,0
214_0_WE_4,10:07:00,10:07:10,6792,23,0
214_0_WE_4,10:08:00,10:08:10,6793,24,0
214_0_WE_4,10:10:00,10:10:10,6794,25,0
214_0_WE_4,10:11:00,10:11:10,6795,26,0
214_0_WE_5,10:30:00,10:30:10,6973,1,0
214_0_WE_5,10:31:00,10:31:10,6591,2,0
214_0_WE_5,10:32:00,10:32:10,6592,3,0
214_0_WE_5,10:33:00,10:33:10,6593,4,0
214_0_WE_5,10:34:00,10:34:10,6595,5,0
214_0_WE_5,10:35:00,10:35:10,6596,6,0
